image_001.png: x=0.13337329, y=-0.05237033, z=0.40608545, rx=0.29111776, ry=-0.22550251, rz=1.49541719
image_002.png: x=0.11201446, y=-0.05803226, z=0.28610706, rx=0.26231997, ry=-0.07203368, rz=1.64280706
image_003.png: x=0.14601627, y=-0.10452860, z=0.41489832, rx=0.30278981, ry=-0.30553663, rz=1.32320321
image_004.png: x=0.08330310, y=-0.09684558, z=0.48331335, rx=0.22056055, ry=-0.24793572, rz=1.49296148
image_005.png: x=0.07878729, y=0.15613155, z=0.46814152, rx=-0.17866183, ry=-0.02814427, rz=-2.91482153
image_006.png: x=0.03538218, y=0.10396409, z=0.39549842, rx=-0.06699003, ry=-0.78404232, rz=3.03550306
image_007.png: x=0.12292213, y=0.07609676, z=0.43966004, rx=-0.16463217, ry=-0.94907883, rz=2.89156957
image_008.png: x=0.02949615, y=0.13563472, z=0.58260668, rx=0.01598480, ry=0.26157326, rz=-1.66214304
image_009.png: x=-0.07561778, y=-0.05607928, z=0.41456320, rx=0.30771051, ry=-0.08848763, rz=-0.32733117
image_010.png: x=-0.08482608, y=-0.04044523, z=0.39207003, rx=0.29967888, ry=-0.07671271, rz=-0.32368908
image_011.png: x=-0.03024964, y=-0.08927952, z=0.36930450, rx=0.35037092, ry=-0.10258807, rz=0.11776756
image_012.png: x=-0.01242453, y=-0.06756491, z=0.31907604, rx=0.33353878, ry=-0.34711259, rz=0.21773060
image_013.png: x=-0.01042745, y=-0.07422047, z=0.31695543, rx=0.34950544, ry=-0.45886804, rz=0.49992766
image_014.png: x=0.01681026, y=-0.07603953, z=0.33155024, rx=0.38240482, ry=-0.46932514, rz=0.69061357
image_015.png: x=0.10240337, y=-0.04692958, z=0.27382550, rx=0.48391401, ry=-0.46115809, rz=1.35102445
image_016.png: x=0.09571524, y=0.00259763, z=0.29585040, rx=0.38068124, ry=-0.56507999, rz=1.88831000
image_017.png: x=0.09077005, y=-0.00972018, z=0.40409113, rx=0.32520774, ry=-0.38303692, rz=1.73411961
image_018.png: x=0.09619015, y=-0.01871687, z=0.46484801, rx=0.10717065, ry=-0.11201936, rz=1.71402464
image_019.png: x=0.03097496, y=-0.02028834, z=0.46729325, rx=-0.07429937, ry=-0.30607791, rz=2.02151664
image_020.png: x=0.05134738, y=0.02129187, z=0.47529425, rx=-0.05793255, ry=-0.14714497, rz=2.13331020
image_021.png: x=0.10297407, y=-0.02589194, z=0.48102239, rx=-0.25891594, ry=-0.98973956, rz=1.65942555
