image_001.png: x=0.14151266, y=-0.09374930, z=0.46855677, rx=0.06236846, ry=-0.28452591, rz=1.51133762
image_002.png: x=0.06328631, y=0.07860491, z=0.52614820, rx=0.72930063, ry=0.72061977, rz=-2.75344857
image_004.png: x=-0.07974853, y=-0.05392131, z=0.42747319, rx=0.69333730, ry=0.28522670, rz=-0.55992104
image_005.png: x=-0.03950855, y=-0.12438990, z=0.39281825, rx=0.62992576, ry=0.08297391, rz=0.42038303
image_006.png: x=0.11066115, y=0.07629023, z=0.60770842, rx=0.52474152, ry=0.59422308, rz=-2.75575917
image_007.png: x=-0.04616751, y=0.08324074, z=0.48306022, rx=0.53350172, ry=0.55440953, rz=-1.97252568
image_008.png: x=-0.08198532, y=0.03109467, z=0.59967864, rx=0.57741010, ry=0.55179230, rz=-1.61271540
image_009.png: x=0.05059284, y=0.08632030, z=0.54406629, rx=0.20719359, ry=0.61643045, rz=-2.78732835
image_010.png: x=0.06436349, y=0.07038865, z=0.57687033, rx=0.02488018, ry=1.14201673, rz=-2.53664275
image_011.png: x=-0.03953430, y=-0.07799631, z=0.36771259, rx=0.79522308, ry=0.14367804, rz=-0.04263462
image_012.png: x=-0.04122706, y=-0.05169195, z=0.32458702, rx=0.75004992, ry=-0.02451849, rz=-0.43744156
image_013.png: x=0.03844619, y=-0.10658388, z=0.35587086, rx=0.69965165, ry=-0.20076826, rz=0.71984739
image_014.png: x=0.03739072, y=-0.11782150, z=0.40684197, rx=0.17433853, ry=-0.72355559, rz=1.12729098
image_015.png: x=0.04437948, y=-0.12837732, z=0.49918720, rx=-0.11515893, ry=0.09155663, rz=1.17313429
image_016.png: x=0.12583670, y=-0.11581086, z=0.58502986, rx=-0.17977225, ry=0.20121985, rz=1.44025677
image_017.png: x=-0.01330981, y=0.05202683, z=0.61395333, rx=0.53795127, ry=0.76388367, rz=-1.52125712
image_018.png: x=-0.03443399, y=-0.07752076, z=0.49752898, rx=0.45291668, ry=0.33795210, rz=-0.39098231
image_019.png: x=-0.01061933, y=0.07822731, z=0.69072522, rx=0.25808177, ry=1.00886340, rz=-2.18681258
image_020.png: x=0.08758857, y=0.05042416, z=0.52488395, rx=0.06621732, ry=-1.22422775, rz=2.61742609
image_021.png: x=-0.02695522, y=-0.06768092, z=0.28879521, rx=0.86086227, ry=-0.08597222, rz=0.08011758
image_022.png: x=-0.07270074, y=0.03485292, z=0.39566452, rx=0.71799249, ry=0.47354702, rz=-1.35208190
image_023.png: x=0.04567342, y=0.07281222, z=0.47676732, rx=-0.17101701, ry=-0.10885084, rz=3.05040150
image_024.png: x=0.10873500, y=-0.09575475, z=0.28472917, rx=0.23979735, ry=-0.04336740, rz=1.53094409
image_025.png: x=-0.07617603, y=0.05709932, z=0.33041818, rx=0.34880073, ry=0.21518916, rz=-1.58733993
image_026.png: x=-0.07736554, y=-0.08863920, z=0.30567249, rx=0.59752075, ry=0.01002283, rz=0.05168499
image_027.png: x=0.11943823, y=0.06824112, z=0.41545078, rx=-0.05730007, ry=-0.64732802, rz=3.02234288
